Date,series ,open,high,low,PREV. CLOSE ,ltp ,close,vwap ,52W H,52W L,VOLUME,VALUE ,No of trades 
2016-05-06,EQ,5545.00,5640.00,5531.20,5540.85,5599.90,5610.90,5574.03,7349.00,4981.00,51851.00,289019017.10,3777.00
2016-05-05,EQ,5551.00,5569.95,5500.10,5542.25,5566.00,5540.85,5525.58,7349.00,4981.00,24819.00,137139318.60,2811.00
2016-05-04,EQ,5592.10,5649.40,5512.30,5591.60,5520.00,5542.25,5579.53,7349.00,4981.00,23847.00,133055084.15,4974.00
2016-05-03,EQ,5769.95,5794.00,5575.00,5754.25,5591.00,5591.60,5654.31,7349.00,4981.00,34263.00,193733711.10,7984.00
2016-05-02,EQ,5739.95,5800.00,5712.35,5725.45,5736.50,5754.25,5764.52,7349.00,4981.00,20305.00,117048532.55,2715.00
2016-04-29,EQ,5930.00,5930.00,5703.05,5908.05,5711.60,5725.45,5762.09,7349.00,4981.00,34469.00,198613440.30,9403.00
2016-04-28,EQ,5878.00,5954.90,5755.00,5885.85,5884.95,5908.05,5855.84,7349.00,4981.00,39851.00,233360957.55,11677.00
2016-04-27,EQ,5830.65,5965.05,5802.60,5830.65,5875.00,5885.85,5889.41,7349.00,4981.00,18309.00,107829129.55,4257.00
2016-04-26,EQ,5894.60,5899.90,5805.00,5881.65,5830.00,5830.65,5830.48,7349.00,4981.00,70732.00,412401421.50,6149.00
2016-04-25,EQ,5970.00,6025.15,5850.00,5969.75,5850.10,5881.65,5916.89,7349.00,4981.00,60089.00,355540056.85,5178.00
2016-04-22,EQ,5960.00,6039.60,5960.00,5966.85,5960.00,5969.75,5981.60,7349.00,4981.00,15566.00,93109587.90,4407.00
2016-04-21,EQ,6036.00,6050.00,5947.00,6036.00,5966.00,5966.85,5959.32,7349.00,4981.00,75844.00,451978322.95,6285.00
2016-04-20,EQ,6180.00,6196.00,6002.00,6134.60,6021.00,6036.00,6088.92,7349.00,4981.00,43665.00,265872593.35,11732.00
2016-04-18,EQ,6120.00,6246.75,6057.00,6116.50,6150.00,6134.60,6159.14,7349.00,4981.00,47449.00,292245253.65,12500.00
2016-04-13,EQ,6157.00,6175.00,6021.10,6147.80,6110.00,6116.50,6091.44,7349.00,4981.00,32898.00,200396075.55,8219.00
